sigle;optionnel;credits
BCM113;FAUX;1
BIO109;FAUX;1
BIO300;FAUX;3
BIO301;VRAI;2
BIO500;FAUX;2
BOT400;FAUX;1
BOT512;FAUX;3
ECL215;FAUX;3
ECL307;FAUX;1
ECL315;FAUX;3
ECL403;FAUX;1
ECL404;FAUX;3
ECL406;FAUX;1
ECL510;FAUX;3
ECL515;FAUX;2
ECL516;FAUX;3
ECL522;VRAI;3
ECL527;FAUX;2
ECL535;VRAI;1
ECL544;VRAI;3
ECL603;VRAI;1
ECL608;VRAI;3
ECL610;FAUX;2
ECL611;FAUX;1
ECL615;FAUX;1
ECL618;VRAI;4
ECL619;VRAI;4
ECN109;VRAI;3
ECL406;FAUX;1
ENT102;VRAI;2
MCB101;FAUX;1
TSB303;FAUX;2
ZOO105;FAUX;1
ZOO304;VRAI;3
ZOO306;FAUX;1
ZOO307;FAUX;1
